#Parameters = {k=5; W0=1.5; h=1.6; W=22; t=0.035}
#"Frequency / GHz"	"S2,1 [Magnitude]"
#------------------------------------
1.1600000000000	-0.61358744708092
1.1610000000000	-0.61272662877456
1.1620000000000	-0.61187019429046
1.1630000000000	-0.61101816701832
1.1640000000000	-0.61017057019940
1.1650000000000	-0.60932742692574
1.1660000000000	-0.60848876013959
1.1670000000000	-0.60765459263265
1.1680000000000	-0.60682494704548
1.1690000000000	-0.60599984586680
1.1700000000000	-0.60517931143285
1.1710000000000	-0.60436336592677
1.1720000000000	-0.60355203137794
1.1730000000000	-0.60274532966136
1.1740000000000	-0.60194328249704
1.1750000000000	-0.60114591144937
1.1760000000000	-0.60035323792653
1.1770000000000	-0.59956528317987
1.1780000000000	-0.59878206830334
1.1790000000000	-0.59800361423291
1.1800000000000	-0.59722994174596
1.1810000000000	-0.59646107146072
1.1820000000000	-0.59569702383573
1.1830000000000	-0.59493781916927
