#Parameters = {k=5; W0=1.5; h=1.6; W=22; t=0.035}
#"Frequency / GHz"	"S1,2 [Magnitude]"
#------------------------------------
1.1600000000000	-0.61358731485275
1.1610000000000	-0.61272651330869
1.1620000000000	-0.61187009564981
1.1630000000000	-0.61101808525951
1.1640000000000	-0.61017050537273
1.1650000000000	-0.60932737907539
1.1660000000000	-0.60848872930362
1.1670000000000	-0.60765457884318
1.1680000000000	-0.60682495032872
1.1690000000000	-0.60599986624316
1.1700000000000	-0.60517934891704
1.1710000000000	-0.60436342052787
1.1720000000000	-0.60355210309949
1.1730000000000	-0.60274541850147
1.1740000000000	-0.60194338844847
1.1750000000000	-0.60114603449960
1.1760000000000	-0.60035337805787
1.1770000000000	-0.59956544036953
1.1780000000000	-0.59878224252355
1.1790000000000	-0.59800380545093
1.1800000000000	-0.59723014992424
1.1810000000000	-0.59646129655695
1.1820000000000	-0.59569726580296
1.1830000000000	-0.59493807795591
